algorithm,k,eps,min_samples,noise_frac,silhouette,davies_bouldin,calinski_harabasz,cluster_sizes
kmeans,2,,,0.0,0.3069214677362687,1.3754333943862793,87.34053530287213,"[162, 57]"
kmeans,3,,,0.0,0.20412979548159588,1.4653236876958793,74.37083977232722,"[76, 122, 21]"
kmeans,4,,,0.0,0.22965192732059403,1.3789276612274572,67.14349623900519,"[76, 24, 21, 98]"
kmeans,5,,,0.0,0.23286264697747772,1.4473592428114508,64.75734081818678,"[20, 43, 22, 62, 72]"
kmeans,6,,,0.0,0.21756719615303602,1.3859779997410235,61.11146895465661,"[63, 20, 32, 22, 46, 36]"
kmeans,7,,,0.0,0.21932774317468376,1.4163361675826878,57.417507842486714,"[45, 8, 27, 63, 37, 17, 22]"
kmeans,8,,,0.0,0.19544503471266414,1.4117995598837143,54.128367583963616,"[40, 27, 52, 15, 22, 8, 18, 37]"
agglomerative,2,,,0.0,0.3844690962250937,1.1044179841452295,77.94951650139184,"[192, 27]"
agglomerative,3,,,0.0,0.18794334973173277,1.5568808020449236,70.46950047038581,"[118, 27, 74]"
agglomerative,4,,,0.0,0.2091653600269085,1.4474524375638125,61.94199539197331,"[99, 27, 74, 19]"
agglomerative,5,,,0.0,0.21129370093331679,1.5733274854268195,57.21931880767109,"[27, 61, 74, 19, 38]"
agglomerative,6,,,0.0,0.2128688463614145,1.5509274059008955,53.60106210529784,"[61, 38, 74, 19, 8, 19]"
agglomerative,7,,,0.0,0.2111917190717964,1.4396422116293903,52.16337624582301,"[74, 38, 41, 19, 8, 19, 20]"
agglomerative,8,,,0.0,0.19415119497662348,1.4009337645374447,48.947634042566385,"[41, 38, 66, 19, 8, 19, 20, 8]"
dbscan,1,2.865860026223288,4.0,0.0182648401826484,,,,"[4, 215]"
dbscan,1,3.0022962727351237,6.0,0.0182648401826484,,,,"[4, 215]"
dbscan,1,3.235857670507178,8.0,0.0182648401826484,,,,"[4, 215]"
